Name,Image,CountryCode,Number
Spaghetti,https://www.barilla.com//-/media/images/el_gr/products/groups/ranges/classic-gr/3df_3030029927_1000675005spaghetti25x500grecia.png,GRC,5
Spaghetti,https://www.barilla.com//-/media/images/pl_pl/products/groups/ranges/classic_pl/new_barilla_spaghetti_500g.png,POL,5
Spaghetti,https://www.barilla.com//-/media/images/pt_br/mockups_blue_box/3df_bbnvi_spaghetti_500g_eu_3129_v11.png,BRA,5
Esparguete,https://www.barilla.com//-/media/images/pt_pt/products/groups/ranges/gama--clasica_pt/_0002_3df_3030030471_1000012612spaghetti500g_intl.png,PRT,5
Spaghetti,https://www.barilla.com//-/media/images/de_de/products/groups/ranges/klassische_sorten/2022/spaghetti_302x87.png,DEU,5
Spaghetti,https://www.barilla.com//-/media/images/ch/products/groups/ranges/klassische_sorten/2022/spaghetti_302x87.png,CHE,5
Spaghetti,https://www.barilla.com//-/media/images/da_dk/products/groups/ranges/klassikere/3df_spaghetti_500g_intl.png,DNK,5
Spaghetti,https://www.barilla.com//-/media/images/en_au/products/groups/ranges/classic-blue-box/spaghetti_nvi.png,AUS,5
Gluten Free Spaghetti,https://www.barilla.com//-/media/images/en_sg/products/groups/ranges/gluten-free/3df_spaghetti_productimage.png,SGP,5
Spaghetti,https://www.barilla.com//-/media/images/cs_cz/img_aktualizace/barilla_spaghetti.png,CZE,5
Spaghetti Integrale,https://www.barilla.com//-/media/images/da_dk/products/groups/ranges/barillaspaghettifullkorn1kg.png,DNK,5
Spaghetti Pronto,https://www.barilla.com//-/media/images/es_mx/products/groups/ranges/pronto/pronto_spaghetti_340g.png,MEX,5
BIO Spaghetti ,https://www.barilla.com//-/media/images/sl_si/3d_real_16225_bio_nvi_spaghetti_500g_eu_3129_v1_front.png,SVN,5
Esparguete Integral,https://www.barilla.com//-/media/images/es_es/products/groups/ranges/integrale-es/_0004_3df_10794_integr_spaghetti_5_500g/_0004_3df_10794_integr_spaghetti_5_500g_new.png,PRT,5
Spaghetti Integrale,https://www.barilla.com//-/media/images/fr_fr/products/groups/ranges/integrale/new/spaghetti_integrale_pack_new_01.png,FRA,5
Spaghetti di Lenticchie Rosse,https://www.barilla.com//-/media/images/it_it/products/groups/ranges/legumi/2023/spaghetti_lenticchie_rosse_250g_new.png,ITA,5
ספגטי ללא גלוטן,https://www.barilla.com//-/media/images/he_il/products/il-products/gf_passover/8076809545440_p1.png,ISR,5
Spaghetti Sans Gluten,https://www.barilla.com//-/media/images/fr_fr/products/groups/ranges/sans-gluten/new/spaghetti_sg_pack_new.png,FRA,5
Espagueti de Legumbres,https://www.barilla.com//-/media/images/es_pr/new-products-2023/pastas-largas/5181069582barillachickpeaspaguetticopy.png,PRI,5
ΟΛΙΚΗΣ ΑΛΕΣΕΩΣ Spaghetti,https://www.barilla.com//-/media/images/el_gr/products/categories/integrale-spaghetti-2021.png,GRC,5
Spaghetti Sans gluten,https://www.barilla.com//-/media/images/ch/products/groups/ranges/2023/glutenfrei/3d_real_11409_sg_nvi_spaghetti_400g_eu_3129_v1_front.png,CHE,5
Spaghetti Integrale,https://www.barilla.com//-/media/images/ro_ro/poze-produse/bb-clasic/spaghetti-int.png,ROU,5
Senza Glutine Spaghetti,https://www.barilla.com//-/media/images/ch/products/groups/ranges/glutenfrei/3d_real_11409_sg_nvi_spaghetti_400g_eu_3129_v1_front.png,CHE,5
Brezglutenski spaghetti,https://www.barilla.com//-/media/images/sl_si/3d_real_14686_sg_nvi_spaghetti_400g_eu_3129_v1_front.png,SVN,5
Spaghetti από κόκκινες φακές,https://www.barilla.com//-/media/images/el_gr/products/groups/ranges/legumes/legumes_spaghetti-redlentils.png,GRC,5
Gluten Free Spaghetti,https://www.barilla.com//-/media/images/ca/products/gf-pack-shots-en/309x87barillaspaghetti_final.png,CAN,5
Spaghetti Sin Gluten,https://www.barilla.com//-/media/images/es_es/products/groups/ranges/senza-glutine-es/_0001_3df_3030031687_1000014686spaghettigfintl400x12/spaghetti_sin_gluten_295.png,ESP,5
ספגטי חיטה מלאה,https://www.barilla.com//-/media/images/he_il/products/il-products/whole-wheat-spaghetti.png,ISR,5
Spaghetti Bezglutenowe ,https://www.barilla.com//-/media/images/pl_pl/products/groups/ranges/glutenfree_pl/new_barilla_sg_spaghetti.png,POL,5
SPAGHETTI ΧΩΡΙΣ ΓΛΟΥΤΕΝΗ,https://www.barilla.com//-/media/images/el_gr/products/categories/spaghetti-gluten-free-2021.png,GRC,5
Al Bronzo Spaghetti,https://www.barilla.com//-/media/images/en_au/products/groups/ranges/al-bronzo/3df_spaghetti_al_bronzo_400g.png,AUS,5
Spaghetti Integrale,https://www.barilla.com//-/media/images/hu_hu/integrale-1-hu.png,ROU,5
Spaghetti Sin Gluten,https://www.barilla.com//-/media/images/es_mx/products/groups/ranges/gluten-free/gluten_free_spaghetti_box_v3.png,MEX,5
Spaghettini,https://www.barilla.com//-/media/images/ca/products/new-product-shots/spaghettini.png,CAN,5
SPAGHETTI AL BRONZO,https://www.barilla.com//-/media/images/sl_si/3df_spaghetti_al_bronzo_400gfront.png,SVN,5
Espagueti Sin Gluten,https://www.barilla.com//-/media/images/es_pr/products/groups/ranges/gluten-free/gluten_free_spaghetti_box_web.png,PRI,5
Špageti iz rdeče leče,https://www.barilla.com//-/media/images/sl_si/legumesspaghetti.png,SVN,5
GLUTÉNMENTES SPAGHETTI,https://www.barilla.com//-/media/images/ro_ro/poze-produse/bb-clasic/spaghetti-fg.png,ROU,5
Spaghetti Integrale,https://www.barilla.com//-/media/images/sv_se/products/groups/ranges/fullkorn_sv/fullkorn_spaghetti.png,SWE,5
Spaghetti Bio,https://www.barilla.com//-/media/images/fr_fr/products/groups/ranges/bio/bio_spaghetti_pack_2023.png,FRA,5
Spaghetti Fără Gluten,https://www.barilla.com//-/media/images/ro_ro/poze-produse/bb-clasic/spaghetti-fg.png,ROU,5
Spaghetti Integrale,https://www.barilla.com//-/media/images/ch/products/groups/ranges/integrale/3dreal16238integnvispaghetti500geu3129v1front-1png.png,CHE,5
Spaghetti Al Bronzo,https://www.barilla.com//-/media/images/de_de/products/groups/ranges/al-bronzo/packshot/albronzo_spaghetti_400g_frontal_1000020465_8076809581127removebgpreview.png,DEU,5
Spaghetti Bio,https://www.barilla.com//-/media/images/be/products/groups/ranges/bio_be/packbio2new.png,BEL,5
Spaghetti Sem Glúten,https://www.barilla.com//-/media/images/pt_br/products/groups/ranges/gluten-free/semgluten_spaghetti_no5_400g_front/3df_14766_gluten_free_spaghetti_400g_br-(3)/3df_14766_gluten_free_spaghetti_400g_br.png,BRA,5
Špageti Academia Barilla,https://www.barilla.com//-/media/images/hr_hr/spaghetti-academia2.png,HRV,5
Spaghetti de Lentilles Corail,https://www.barilla.com//-/media/images/fr_fr/products/legumineuses/spaghetti_lentilles_corail_pack.png,FRA,5
Academia Barilla Spaghetti,https://www.barilla.com//-/media/images/sl_si/spaghetti-academia2.png,SVN,5
